ID_Pedido,Fecha_pedido,Anio,Mes_num,Mes,Estacion,ID_Cliente,Pais,Region,Ciudad,Segmento_Cliente,Categoria_Producto,Producto,Canal,Campania,Dispositivo,Unidades,Precio_unitario,Descuento_pct,Ingresos,Costo,Ganancia,Devolucion,Satisfaccion,Dias_entrega
ARG-2024-00382,02/01/2024,2024,1,Enero,Verano,CUST-1084,Mexico,Norte,Monterrey,Basico,Hogar,Lampara Desk,Online,Always On,Mobile,1,52.51,0.034,56.83,35.16,21.66,0,3.7,5
ARG-2024-00119,03/01/2024,2024,1,Enero,Verano,CUST-1078,Chile,Centro,Valparaiso,Premium,Moda,Jeans Slim,Marketplace,Cyber Days,Mobile,2,102.31,0.167,190.92,102.45,88.47,0,4.1,4
ARG-2024-00188,04/01/2024,2024,1,Enero,Verano,CUST-1232,Colombia,Andina,Bogota,Premium,Moda,Chaqueta Urbana,Tienda,Always On,No Aplica,1,154.43,0.036,166.78,95.25,71.53,0,4.7,1
ARG-2024-00740,07/01/2024,2024,1,Enero,Verano,CUST-1217,Peru,Costa,Trujillo,Estandar,Moda,Camisa Oxford,Online,No Aplica,Mobile,1,57.99,0.009,64.37,33.69,30.68,0,3.4,4
ARG-2024-00553,09/01/2024,2024,1,Enero,Verano,CUST-1234,Mexico,Norte,Monterrey,Estandar,Hogar,Licuadora Pro,Marketplace,Temporada Alta,Mobile,3,103.22,0.072,321.73,193.09,128.64,0,3.8,5
ARG-2024-00230,10/01/2024,2024,1,Enero,Verano,CUST-1084,Mexico,Centro,Puebla,Estandar,Hogar,Lampara Desk,Online,Always On,Tablet,2,71.58,0.079,147.73,88.55,59.18,0,5.0,4
ARG-2024-00269,15/01/2024,2024,1,Enero,Verano,CUST-1079,Mexico,Occidente,Guadalajara,Basico,Moda,Camisa Oxford,Tienda,Always On,No Aplica,1,54.58,0.054,57.82,33.77,24.04,0,3.5,1
ARG-2024-00383,15/01/2024,2024,1,Enero,Verano,CUST-1219,Chile,Centro,Santiago,Estandar,Hogar,Organizador Cocina,Online,Always On,Mobile,2,63.63,0.039,137.03,80.99,56.04,0,5.0,4
ARG-2024-00141,18/01/2024,2024,1,Enero,Verano,CUST-1223,Peru,Sierra,Cusco,Estandar,Hogar,Organizador Cocina,Tienda,Cyber Days,No Aplica,3,46.61,0.141,134.59,86.78,47.8,0,4.0,1
ARG-2024-00676,19/01/2024,2024,1,Enero,Verano,CUST-1281,Peru,Costa,Trujillo,Estandar,Deportes,Set Mancuernas,Tienda,Back to School,No Aplica,1,97.61,0.145,93.45,55.87,37.58,0,4.6,1
ARG-2024-00502,19/01/2024,2024,1,Enero,Verano,CUST-1279,Colombia,Caribe,Barranquilla,Estandar,Tecnologia,Audifonos Pro,Tienda,Always On,No Aplica,1,140.09,0.056,148.09,101.99,46.1,0,4.7,1
ARG-2024-00579,23/01/2024,2024,1,Enero,Verano,CUST-1159,Chile,Sur,Concepcion,Premium,Tecnologia,Parlante Home,Online,Temporada Alta,Mobile,2,184.84,0.087,377.97,275.59,102.38,0,3.5,6
ARG-2024-00098,23/01/2024,2024,1,Enero,Verano,CUST-1295,Peru,Sierra,Cusco,Basico,Moda,Zapatillas Run,Marketplace,,Mobile,2,97.34,0.047,207.82,119.78,88.04,0,3.9,5
ARG-2024-00127,23/01/2024,2024,1,Enero,Verano,CUST-1207,Colombia,Caribe,Barranquilla,Estandar,Moda,Camisa Oxford,Tienda,Cyber Days,No Aplica,2,56.84,0.182,104.11,63.08,41.04,0,4.1,2
ARG-2024-00052,24/01/2024,2024,1,Enero,Verano,CUST-1211,Colombia,Pacifico,Cali,Estandar,Tecnologia,Audifonos Pro,Online,Temporada Alta,Mobile,1,146.42,0.072,152.24,111.63,40.61,0,3.5,5
ARG-2024-00430,30/01/2024,2024,1,Enero,Verano,CUST-1226,Mexico,Centro,CDMX,Basico,Tecnologia,Tablet 10,Online,Always On,Mobile,1,343.62,0.056,363.15,260.28,102.87,0,3.7,4
ARG-2024-00504,31/01/2024,2024,1,Enero,Verano,CUST-1010,Chile,Norte,Antofagasta,Estandar,Moda,Zapatillas Run,Online,No Aplica,Desktop,1,118.96,0.051,126.39,76.77,49.62,0,4.0,3
ARG-2024-00755,01/02/2024,2024,2,Febrero,Verano,CUST-1283,Chile,Norte,Antofagasta,Premium,Tecnologia,Audifonos Pro,Online,Cyber Days,Desktop,1,222.63,0.186,202.96,150.09,52.87,0,4.4,5
ARG-2024-00079,02/02/2024,2024,2,Febrero,Verano,CUST-1263,Chile,Sur,Concepcion,Premium,Hogar,Aspiradora Max,Marketplace,,Mobile,3,294.58,0.0,989.78,585.47,404.31,0,3.2,5
ARG-2024-00675,02/02/2024,2024,2,Febrero,Verano,CUST-1016,Mexico,Centro,Puebla,Premium,Hogar,Licuadora Pro,Tienda,Always On,No Aplica,1,135.83,0.0,152.13,99.47,52.66,0,5.0,2
ARG-2024-00752,04/02/2024,2024,2,Febrero,Verano,CUST-1118,Chile,Centro,Valparaiso,Estandar,Tecnologia,Parlante Home,Tienda,Back to School,No Aplica,2,132.11,0.127,258.24,181.41,76.83,0,4.5,1
ARG-2024-00162,04/02/2024,2024,2,Febrero,Verano,CUST-1260,Colombia,Andina,Bogota,Premium,Deportes,Set Mancuernas,Online,Back to School,Mobile,1,138.2,0.099,139.43,88.42,51.01,0,4.5,5
ARG-2024-00372,08/02/2024,2024,2,Febrero,Verano,CUST-1233,Colombia,Andina,Medellin,Premium,Hogar,Cafetera Plus,Online,Temporada Alta,Mobile,1,163.67,0.079,168.9,97.05,71.85,0,3.9,4
ARG-2024-00646,10/02/2024,2024,2,Febrero,Verano,CUST-1020,Peru,Sierra,Cusco,Estandar,Moda,Bolso Ejecutivo,Tienda,No Aplica,No Aplica,1,88.22,0.01,97.78,53.26,44.52,0,4.3,1
ARG-2024-00679,12/02/2024,2024,2,Febrero,Verano,CUST-1037,Colombia,Pacifico,Cali,Estandar,Tecnologia,Parlante Home,Tienda,Back to School,No Aplica,1,137.5,0.112,136.8,100.67,36.13,0,4.4,1
ARG-2024-00477,14/02/2024,2024,2,Febrero,Verano,CUST-1086,Chile,Centro,Valparaiso,Premium,Hogar,Licuadora Pro,Online,Back to School,Mobile,4,134.44,0.122,528.77,295.19,233.58,0,4.2,4
ARG-2024-00467,14/02/2024,2024,2,Febrero,Verano,CUST-1255,Peru,Sierra,Cusco,Estandar,Tecnologia,Parlante Home,Online,No Aplica,Mobile,2,132.8,0.0,297.46,206.99,90.47,0,3.7,4
ARG-2024-00101,15/02/2024,2024,2,Febrero,Verano,CUST-1052,Colombia,Pacifico,Cali,Premium,Hogar,Cafetera Plus,Marketplace,Cyber Days,Mobile,1,145.24,0.207,129.02,80.37,48.65,0,3.7,4
ARG-2024-00585,16/02/2024,2024,2,Febrero,Verano,CUST-1291,Chile,Centro,Valparaiso,Premium,Hogar,Organizador Cocina,Marketplace,Back to School,Mobile,2,79.43,0.128,155.15,98.48,56.67,0,4.8,7
