liquor_name,country,category,base_ingredient,abv_percent,bottle_volume_ml,price_usd,region,sweetness_profile,aging_years,export_volume_liters,consumer_rating
Aguardiente Antioqueño,Colombia,Aguardiente,Caña de azúcar,29.0,750,12.0,Andina,seco,0,120000,4.3
Ron Viejo de Caldas 8,Colombia,Ron añejo,Melaza,35.0,750,18.0,Andina,semidulce,8,80000,4.4
Pisco Quebranta,Perú,Pisco,Uva,40.0,700,22.0,Costa,seco,2,60000,4.5
Pisco Acholado,Chile,Pisco,Uva,35.0,700,20.0,Norte Chico,semidulce,1,55000,4.2
Cachaça Ouro,Brasil,Cachaça,Caña de azúcar,38.0,700,15.0,Sudeste,semidulce,2,150000,4.1
Tequila Blanco,México,Tequila,Agave azul,38.0,750,25.0,Jalisco,seco,0,200000,4.6
Tequila Reposado,México,Tequila,Agave azul,40.0,750,32.0,Jalisco,semidulce,6,180000,4.7
Mezcal Artesanal,México,Mezcal,Agave espadín,45.0,700,28.0,Oaxaca,ahumado,3,70000,4.5
Fernet con Cola,Argentina,Amargo,Hierbas,39.0,750,17.0,Centro,amargo,0,50000,4.0
Ron Añejo Diplomático,Venezuela,Ron añejo,Melaza,40.0,700,30.0,Llanos,dulce,12,90000,4.8
Singani de Altura,Bolivia,Singani,Uva moscatel,40.0,700,18.0,Altiplano,seco,3,30000,4.1
Rum Blanco Caribeño,Panamá,Ron blanco,Melaza,37.5,750,14.0,Caribe,semidulce,1,40000,3.9
Licor de Café,Colombia,Licor saborizado,Café y caña,24.0,700,16.0,Eje Cafetero,dulce,0,25000,4.2
Crema de Coco Caribeña,República Dominicana,Licor cremoso,Coco y caña,20.0,750,13.0,Caribe,dulce,0,35000,4.0
Guaro Cacique,Costa Rica,Aguardiente,Caña de azúcar,30.0,750,11.0,Centroamérica,seco,0,45000,3.8
